iter	Passed	Remaining
402	12974	19220
403	13005	19185
404	13037	19153
405	13069	19121
406	13102	19089
407	13136	19060
408	13168	19028
409	13199	18994
410	13231	18961
411	13263	18929
412	13294	18895
413	13326	18863
414	13359	18831
415	13391	18799
416	13421	18764
417	13453	18731
418	13485	18699
419	13518	18668
420	13551	18637
421	13582	18603
422	13613	18569
423	13646	18539
424	13679	18506
425	13710	18473
426	13742	18441
427	13774	18408
428	13804	18374
429	13837	18342
430	13867	18307
431	13898	18273
432	13929	18240
433	13961	18207
434	13993	18175
435	14023	18140
436	14055	18108
437	14088	18077
438	14119	18043
439	14150	18009
440	14182	17977
441	14213	17943
442	14246	17912
443	14278	17880
444	14310	17848
445	14342	17815
446	14374	17783
447	14406	17751
448	14437	17716
449	14469	17684
450	14500	17651
451	14532	17619
452	14565	17587
453	14595	17553
454	14628	17522
455	14660	17489
456	14691	17456
457	14725	17426
458	14759	17395
459	14790	17363
460	14821	17329
461	14854	17297
462	14886	17266
463	14917	17232
464	14949	17200
465	14980	17166
466	15013	17134
467	15045	17102
468	15077	17070
469	15110	17039
470	15143	17008
471	15174	16974
472	15205	16941
473	15238	16910
474	15269	16876
475	15299	16842
476	15332	16810
477	15364	16778
478	15395	16745
479	15426	16711
480	15458	16680
481	15491	16648
482	15525	16618
483	15562	16591
484	15599	16564
485	15634	16535
486	15670	16507
487	15703	16475
488	15737	16445
489	15771	16415
490	15803	16383
491	15836	16351
492	15867	16318
493	15898	16284
494	15928	16250
495	15959	16216
496	15992	16185
497	16024	16153
498	16056	16121
499	16089	16089
500	16122	16057
501	16155	16026
502	16187	15994
503	16219	15962
504	16251	15929
505	16283	15897
506	16315	15864
507	16349	15834
508	16381	15802
509	16414	15770
510	16447	15739
511	16477	15705
512	16510	15674
513	16543	15642
514	16576	15610
515	16609	15579
516	16641	15547
517	16673	15514
518	16705	15482
519	16738	15451
520	16770	15418
521	16802	15386
522	16835	15354
523	16867	15321
524	16899	15290
525	16932	15258
526	16963	15225
527	16996	15193
528	17028	15161
529	17059	15128
530	17090	15094
531	17122	15062
532	17155	15031
533	17188	14999
534	17220	14967
535	17253	14935
536	17285	14903
537	17316	14870
538	17348	14838
539	17381	14806
540	17413	14774
541	17445	14742
542	17476	14708
543	17507	14675
544	17539	14643
