iter	MultiClass
353	1.10350389
354	1.103490307
355	1.1034809
356	1.103453681
357	1.103439124
358	1.103417815
359	1.103377842
360	1.103358378
361	1.103341805
362	1.103325512
363	1.103312021
364	1.103294172
365	1.103273884
366	1.103270164
367	1.103249051
368	1.103220949
369	1.103199888
370	1.103187056
371	1.103172575
372	1.103154158
373	1.103131958
374	1.103113899
375	1.103093585
376	1.103073173
377	1.103068099
378	1.103057494
379	1.103053647
380	1.103033194
381	1.103029343
382	1.102999811
383	1.102996588
384	1.102965196
385	1.102936974
386	1.102924477
387	1.102912459
388	1.102908531
389	1.102880395
390	1.102857324
391	1.102826462
392	1.102794174
393	1.102766627
394	1.10275347
395	1.102749124
396	1.102745784
397	1.102729539
398	1.102709295
399	1.10269363
400	1.102684122
401	1.102658065
402	1.102619874
403	1.102616835
404	1.102589307
405	1.102566424
406	1.102552879
407	1.102533088
408	1.102506716
409	1.102493598
410	1.102467907
411	1.1024464
412	1.10243727
413	1.102421403
414	1.102400329
415	1.102375164
416	1.102363726
417	1.102315291
418	1.102281911
419	1.102249607
420	1.10221805
421	1.1022054
422	1.102191615
423	1.102179785
424	1.102144492
425	1.102131271
426	1.10211076
427	1.102076333
428	1.102072527
429	1.102048693
430	1.102045623
431	1.102042784
432	1.102031551
433	1.102003424
434	1.101993515
435	1.101990749
436	1.101980955
437	1.101959839
438	1.101946779
439	1.10193133
440	1.101901091
441	1.101885124
442	1.101864329
443	1.101847184
444	1.101822651
445	1.101803642
446	1.101776229
447	1.101748783
448	1.101744151
449	1.101707848
450	1.101697193
451	1.101666906
452	1.101653909
453	1.101639484
454	1.101616752
455	1.10160504
456	1.10159319
457	1.10158861
458	1.101572309
459	1.10155079
460	1.101533144
461	1.101511152
462	1.10149896
463	1.101486773
464	1.101463818
465	1.101461247
466	1.101455865
467	1.101437164
468	1.101411713
469	1.101396247
470	1.10137558
471	1.101373055
472	1.101363648
473	1.1013439
474	1.101341461
475	1.101338816
476	1.101323567
477	1.101304607
478	1.101292455
479	1.101279761
480	1.101248315
481	1.10123378
482	1.101209558
483	1.101199385
484	1.101168531
485	1.101157264
486	1.101145511
487	1.101126208
488	1.101108581
489	1.101096445
490	1.101074448
491	1.101052011
492	1.101041248
493	1.10103058
494	1.101019782
495	1.101015782
496	1.100991949
497	1.100966639
498	1.100938414
499	1.100926198
500	1.100921779
501	1.100899043
502	1.100871053
503	1.100851502
504	1.100847404
505	1.10082755
506	1.100811023
507	1.100800156
508	1.100788901
509	1.100779962
510	1.100768852
511	1.100747997
512	1.100726031
513	1.100695824
514	1.10067785
515	1.100660845
516	1.100651007
517	1.100635751
518	1.100632188
519	1.100626258
520	1.100610541
521	1.100589814
522	1.100579506
523	1.10055745
524	1.100547164
525	1.100539344
526	1.100514638
527	1.100494491
528	1.100488224
529	1.100484969
530	1.100473468
531	1.100448964
532	1.100428788
533	1.100417041
534	1.100412374
535	1.100403392
536	1.100382796
537	1.100372053
538	1.100353561
539	1.100351372
540	1.100328124
541	1.100304825
542	1.100291516
543	1.100282235
544	1.100273129
545	1.100263858
546	1.100236228
547	1.100221502
548	1.100194787
549	1.100178159
550	1.100157872
551	1.100144853
552	1.100128874
553	1.100119607
554	1.100103933
555	1.100093565
556	1.100079479
557	1.100063548
558	1.100041844
559	1.100026819
560	1.10001587
561	1.100004943
562	1.100001175
563	1.099996367
564	1.099979387
565	1.099962199
566	1.099959979
567	1.099949275
568	1.099938499
569	1.099927368
570	1.099923356
571	1.099904406
572	1.099896077
573	1.099886857
574	1.09986411
575	1.09983975
576	1.099827044
577	1.099820837
578	1.099816957
579	1.099813597
580	1.099808469
581	1.099795344
582	1.099792165
583	1.099789078
584	1.099785484
585	1.099770232
586	1.099751242
587	1.099747927
588	1.099727863
589	1.099709015
590	1.099689674
591	1.099676879
592	1.099658872
593	1.099634796
594	1.099620627
595	1.099617554
596	1.099605275
597	1.099579985
598	1.099568293
599	1.099566037
600	1.099551232
601	1.09954155
602	1.099537511
603	1.09951773
604	1.099509273
605	1.099500461
606	1.099483343
607	1.09947243
608	1.099462829
609	1.099454602
610	1.099445293
611	1.099427302
612	1.099412621
613	1.09940385
614	1.099392012
615	1.099380942
616	1.099368729
617	1.099366433
618	1.099362609
619	1.09934485
620	1.099316079
621	1.099306665
622	1.09928573
623	1.099282955
624	1.09926989
625	1.099250684
626	1.099238893
627	1.099219739
628	1.099206035
629	1.099190714
630	1.09917609
631	1.099172382
632	1.099162489
633	1.099153054
634	1.099151267
635	1.099142002
636	1.099120043
637	1.099103115
638	1.099092428
639	1.099090447
640	1.099080645
641	1.099067771
642	1.099053186
643	1.099044731
644	1.099031965
645	1.09902413
646	1.099013058
647	1.099009517
648	1.099001754
649	1.099000384
650	1.098993241
651	1.098981922
652	1.098964242
653	1.098960949
654	1.098934366
655	1.098921864
656	1.098899049
657	1.098885112
658	1.098866552
659	1.098853267
660	1.098842045
661	1.098834217
662	1.098831685
663	1.098828651
664	1.098812626
665	1.098794211
666	1.098783637
667	1.098776115
668	1.098749333
669	1.098728309
670	1.098718458
671	1.098694667
672	1.098687896
673	1.098676957
674	1.09867242
675	1.098649579
676	1.09862808
677	1.09861355
678	1.098593497
679	1.098590711
680	1.098576339
681	1.098555721
682	1.098529023
683	1.098526189
684	1.098515874
685	1.098512152
686	1.098482655
687	1.098480805
688	1.098470456
689	1.098455937
690	1.098443456
691	1.098435023
692	1.098418538
693	1.098411016
694	1.098392613
695	1.098389213
696	1.098378523
697	1.09836682
698	1.098350189
699	1.098327182
700	1.09832104
701	1.098306994
702	1.098295245
703	1.098292445
704	1.098285799
705	1.098279393
706	1.098273072
707	1.098269983
708	1.098254321
709	1.098250915
710	1.098233134
711	1.098210418
712	1.098206686
713	1.098188548
714	1.09818579
715	1.098170537
716	1.098161385
717	1.098158739
718	1.098151313
719	1.098139231
720	1.098123095
721	1.098115114
722	1.098104724
723	1.098100773
724	1.098081624
725	1.098057376
726	1.098039961
727	1.098035607
728	1.098033977
729	1.098019742
730	1.098011949
731	1.098003818
732	1.097993998
733	1.097973147
734	1.097962155
735	1.097946158
736	1.097943491
737	1.097934832
738	1.097922322
739	1.097911773
740	1.097892366
741	1.097879472
742	1.097874325
743	1.097864279
744	1.097849465
745	1.097841739
746	1.097838993
747	1.09783386
748	1.097815258
749	1.097804422
750	1.097791735
751	1.097782634
752	1.097772314
753	1.097765498
754	1.097754185
755	1.097744011
756	1.097737926
757	1.09772611
758	1.097717513
759	1.097702302
760	1.09770038
761	1.097685489
762	1.097670838
763	1.097664563
764	1.097657621
765	1.097648109
766	1.097645097
767	1.097641693
768	1.097635899
769	1.097631157
770	1.097619083
771	1.097599155
772	1.097588127
773	1.097584783
774	1.097582017
775	1.097579447
776	1.097572122
777	1.09756299
778	1.09754069
779	1.09753168
780	1.097520063
781	1.097516962
782	1.097504402
783	1.097502435
784	1.097492338
785	1.097477417
786	1.097469818
787	1.097461945
788	1.097447913
789	1.097444815
790	1.097438057
791	1.097430615
792	1.097427449
793	1.097417454
794	1.097415766
795	1.097406901
796	1.097394643
797	1.097387415
798	1.097366295
799	1.097364387
800	1.097356399
801	1.097342615
802	1.097330793
803	1.097327672
804	1.097324967
805	1.097301609
806	1.097285632
807	1.09727092
808	1.097268132
809	1.097252707
810	1.097237701
811	1.097230181
812	1.097208465
813	1.097201322
814	1.097199483
815	1.097191063
816	1.097172132
817	1.097156487
818	1.097144259
819	1.097142183
820	1.097131864
821	1.097116484
822	1.097109058
823	1.097094944
824	1.097092915
825	1.097084979
826	1.097064451
827	1.097062867
828	1.097053427
829	1.09703269
830	1.097026866
831	1.097016991
832	1.097000741
833	1.096998337
834	1.096996778
835	1.096991096
836	1.096986209
837	1.096976415
838	1.096968555
839	1.096963107
840	1.096961206
841	1.096950621
842	1.096946318
843	1.096939253
844	1.096937702
845	1.096921262
846	1.096916124
847	1.096907243
848	1.09689631
849	1.096882793
850	1.096880359
851	1.09687455
852	1.09687211
853	1.096864883
854	1.096854731
855	1.096844092
856	1.096835102
857	1.096833372
858	1.096831508
859	1.096824265
860	1.096806952
861	1.096798982
862	1.096789949
863	1.09678074
864	1.096778562
865	1.096761886
866	1.096759119
867	1.096752231
868	1.096741659
869	1.096726254
870	1.096719709
871	1.096710657
872	1.096683621
873	1.096677072
874	1.096669111
875	1.096662044
876	1.096654859
877	1.096653415
878	1.096641472
879	1.096623573
880	1.096622358
881	1.09660471
882	1.096597563
883	1.096580684
884	1.096560717
885	1.096554011
886	1.096543318
887	1.096523016
888	1.096514408
889	1.096511453
890	1.096509158
891	1.096501048
892	1.096499441
893	1.096491234
894	1.096482831
895	1.096480965
896	1.096474984
897	1.096467025
898	1.096453096
899	1.096447435
900	1.096439563
901	1.096423565
902	1.096420911
903	1.096409664
904	1.096397422
905	1.096382281
906	1.096371157
907	1.096355902
908	1.096349588
909	1.096335432
910	1.09632548
911	1.096318485
912	1.096313411
913	1.096307975
914	1.096300591
915	1.096290476
916	1.096285746
917	1.096284768
918	1.096282436
919	1.096276054
920	1.096261847
921	1.096258675
922	1.096256443
923	1.096245291
924	1.096234552
925	1.096213525
926	1.096210276
927	1.096192755
928	1.096180288
929	1.096177606
930	1.096175285
931	1.096160713
932	1.09615513
933	1.09613741
934	1.096126563
935	1.096124004
936	1.096122229
937	1.096116215
938	1.096088929
939	1.096073582
940	1.096071339
941	1.09605637
942	1.096044314
943	1.096034892
944	1.096027096
945	1.09601659
946	1.096001257
947	1.095997498
948	1.095994629
949	1.095991892
950	1.095974745
951	1.095964218
952	1.095941634
953	1.095930524
954	1.095908274
955	1.095887436
956	1.095874016
957	1.095855887
958	1.095854523
959	1.095848485
960	1.095841707
961	1.095837319
962	1.095826318
963	1.095817923
964	1.095803394
965	1.095797994
966	1.095786289
967	1.095781355
968	1.095773824
969	1.095766488
970	1.095755167
971	1.095746616
972	1.095740758
973	1.095738896
974	1.095732309
975	1.095719836
976	1.095717992
977	1.095715235
978	1.095707464
979	1.095701133
980	1.095695216
981	1.095693993
982	1.095678285
983	1.095673414
984	1.0956692
985	1.095660444
986	1.095653146
987	1.095642798
988	1.095637546
989	1.095634247
990	1.095626705
991	1.095621777
992	1.095613945
993	1.095598953
994	1.095591543
995	1.095588762
996	1.095582778
997	1.095577167
998	1.095573374
999	1.095570547
