iter	RMSE
0	0.732733801
1000	0.6961440076
2000	0.6821823863
3000	0.6702743627
4000	0.6589024197
5000	0.6481355541
6000	0.6379410982
7000	0.6282507764
8000	0.6187801522
9000	0.6097170183
10000	0.6009266301
